id,image,back_camera,chips,id_api,liked,max_price,min_price,name,operational_system,rating,rating_number,screen_size,brand,type
8046,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-xperia-xa_600x600-PU97aa0_1.jpg,13,Single Chip,621216,0,1199,8791199951171870,Smartphone Sony Xperia XA,Android,7.6,10,5,Sony,Smartphone
8047,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-alcatel-pop4-premium_600x600-PU980fc_1.jpg,13,Dual Chip,622844,1,7599000244140620,4998999938964840,Smartphone Alcatel POP4 Premium,Android,8.2,9,5,Alcatel,Smartphone
8048,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-xperia-xa-ultra_600x600-PU98302_1.jpg,21.5,Single Chip,623362,0,20398299560546800,14231099853515600,Smartphone Sony Xperia XA Ultra,Android,9,8,6,Sony,Smartphone
8049,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k10-power-m320tv_600x600-PU9a294_1.jpg,13,Dual Chip,631444,0,11871199951171800,9231199951171870,Smartphone LG K10 Power M320TV,Android,0,0,5.5,LG,Smartphone
8050,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j3-sm-j320m_600x600-PU973dc_1.jpg,8,Dual Chip,619484,0,989,6020999755859370,Smartphone Samsung Galaxy J3 SM-J320M,Android,8.8,268,5,Samsung,Smartphone
8051,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-x-power-k220_600x600-PU982cd_1.jpg,13,Dual Chip,623309,0,9499000244140620,6500700073242180,Smartphone LG X Power K220,Android,9,103,5.3,LG,Smartphone
8052,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-z-play-xt1635_600x600-PU985b4_1.jpg,16,NULL,624052,1,227989990234375,1499,Smartphone Motorola Moto Z Play XT1635,Android,9.6,96,5.5,Motorola,Smartphone
8053,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lenovo-vibe-k6-plus_600x600-PU99943_1.jpg,16,Dual Chip,629059,1,1099,9143200073242180,Smartphone Lenovo Vibe K6 Plus,NULL,9,25,5.5,Lenovo,Smartphone
8054,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-go-live_600x600-PU98118_1.jpg,13,Dual Chip,622872,0,7590499877929680,748,Smartphone Asus ZenFone Go Live,Android,8.8,24,5.5,Asus,Smartphone
8055,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a9-sm-a910_600x600-PU982cf_1.jpg,16,Dual Chip,623311,1,265989990234375,16489599609375,Smartphone Samsung Galaxy A9 SM-A910,Android,9.6,21,6,Samsung,Smartphone
8056,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-quantum-muv-pro_600x600-PU980f8_1.jpg,16,NULL,622840,1,10489599609375,5999000244140620,Smartphone Quantum MÃœV PRO,Android,7.8,12,5.5,Quantum,Smartphone
8057,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-x-cam-k580_600x600-PU980fd_1.jpg,13,NULL,622845,0,11871199951171800,699,Smartphone LG X Cam K580,Android,9.8,9,5.2,LG,Smartphone
8058,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6s-plus-32gb_600x600-PU985d5_1.jpg,12,Single Chip,624085,1,3599,3099,Smartphone Apple iPhone 6S Plus 32GB,iOS,10,1,5.5,Apple,Smartphone
8059,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-positivo-twist-mini-s430_600x600-PU9a08b_1.jpg,NULL,NULL,630923,0,469,298,Smartphone Positivo Twist Mini S430,NULL,0,0,NULL,Positivo,Smartphone
8060,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-g-4-xt1626_600x600-PU9779e_1.jpg,13,Dual Chip,620446,1,11431199951171800,998,Smartphone Motorola Moto G 4 XT1626,Android,8.8,148,5.5,Motorola,Smartphone
8061,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k4-k130_600x600-PU972b0_1.jpg,5,Dual Chip,619184,0,6151199951171870,378,Smartphone LG K4 K130,Android,8.2,109,4.5,LG,Smartphone
8062,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-alcatel-pixi-4-4-4034_600x600-PU97637_1.jpg,8,NULL,620087,0,3798999938964840,279,Smartphone Alcatel Pixi 4 (4) 4034,Android,8.2,100,4,Alcatel,Smartphone
8063,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-z-play-xt1635-sound-edition_600x600-PU985e3_1.jpg,16,NULL,624099,1,1799,1556719970703120,Smartphone Motorola Moto Z Play XT1635 Sound Edition,Android,9.2,31,5.5,Motorola,Smartphone
8064,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a3-sm-a310m_600x600-PU972a8_1.jpg,13,Dual Chip,619176,0,12349000244140600,898,Smartphone Samsung Galaxy A3 SM-A310M,Android,8.6,21,4.7,Samsung,Smartphone
8065,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-3-max-zc553kl-2gb_600x600-PU99069_1.jpg,16,Dual Chip,626793,0,1299,1098,Smartphone Asus ZenFone 3 Max ZC553KL 2GB,Android,9.4,18,5.5,Asus,Smartphone
8066,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-positivo-twist-s-s520_600x600-PU982c0_1.jpg,8,NULL,623296,1,6699000244140620,43604998779296800,Smartphone Positivo Twist S S520,Android,8.2,7,5,Positivo,Smartphone
8067,http://thumbs.buscape.com.br/celular-e-smartphone/celular-alcatel-ot-1045d_600x600-PU94bdc_1.jpg,NULL,NULL,609244,0,649000015258789,649000015258789,Celular Alcatel OT-1045D,NULL,8,3,NULL,Alcatel,Celular
8068,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-z-play-xt1635-hasselblad-edition_600x600-PU9864e_1.jpg,16,NULL,624206,1,26391201171875,2198,Smartphone Motorola Moto Z Play XT1635 Hasselblad Edition,Android,4.6,3,5.5,Motorola,Smartphone
8069,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-zoom-zx551ml_600x600-PU97516_1.jpg,NULL,NULL,619798,0,12080699462890600,12080699462890600,Smartphone Asus ZenFone Zoom ZX551ML,NULL,10,1,NULL,Asus,Smartphone
8070,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-quantum-fly_600x600-PU98408_1.jpg,16,Dual Chip,623624,1,1298,999,Smartphone Quantum Fly,Android,10,1,5.2,Quantum,Smartphone
8071,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-g6-h870_600x600-PU9a57c_1.jpg,13,Single Chip,632188,1,3498,26391201171875,Smartphone LG G6 H870,Android,0,0,5.7,LG,Smartphone
8072,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-alcatel-a3-xl_600x600-PU9a45d_1.jpg,8,NULL,631901,1,848969970703125,748,Smartphone Alcatel A3 XL,Android,0,0,6,Alcatel,Smartphone
8073,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k8-novo-x240_600x600-PU9a462_1.jpg,13,Dual Chip,631906,0,899,6289600219726560,Smartphone LG K8 Novo X240,Android,0,0,5,LG,Smartphone
8074,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-plus-256gb-special-edition-red_600x600-PU9a470_1.jpg,12,Single Chip,631920,1,43111201171875,4299,Smartphone Apple iPhone 7 Plus 256GB Special Edition Red,iOS,0,0,5.5,Apple,Smartphone
8075,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k10-pro-m400_600x600-PU9a485_1.jpg,13,Dual Chip,631941,1,13299000244140600,1178,Smartphone LG K10 Pro M400,Android,0,0,5.7,LG,Smartphone
8077,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lenovo-vibe-k5_600x600-PU97513_1.jpg,5,Dual Chip,619795,1,9671199951171870,673989990234375,Smartphone Lenovo Vibe K5,Android,8.8,382,5,Lenovo,Smartphone
8078,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6-64gb_600x600-PU86dcc_1.jpg,8,Single Chip,552396,1,349989990234375,28151201171875,Smartphone Apple iPhone 6 64GB,iOS,9.6,138,4,Apple,Smartphone
8079,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-se-64gb_600x600-PU974e8_1.jpg,12,Single Chip,619752,0,2999,2299,Smartphone Apple iPhone SE 64GB,iOS,8.8,29,4,Apple,Smartphone
